Street Address,Lat,Lng
3614 Crosshaven Ct,39.3392044,-104.8656883
"Fallon Plan, Seasons at Cliffrose at Homestead",39.337086,-104.8324466
"HERRING Plan, Crystal Valley",39.32151,-104.839357
2959 Newport Cir,39.344924,-104.865745
"Amethyst Plan, Seasons at The Oaks",39.3556009,-104.8154244
4556 Rapport Dr,39.3559485,-104.8158327
"Seth Plan, Cliffrose at Homestead at Crystal Valley",39.3255729,-104.8423538
"Hemingway Plan, The Grove at Crystal Valley",39.3394757,-104.8411745
5044 Eckert St,39.3574401,-104.810146
"NEWCASTLE Plan, Crystal Valley Pine Ridge",39.3372531,-104.8512143
"Seth Plan, Carriage Hills at Crystal Valley",39.3218555,-104.8358543
"Alexandrite Plan, Seasons at The Oaks",39.3556009,-104.8154244
2360 Oak Vista Ct,39.38441720000001,-104.8375727
2517 Innisbrook Ct,39.3487452,-104.8632027
"Coming Soon Plan, Sunstone Village at Terrain",39.3810254,-104.8118353
"Citrine Plan, The Grove at Crystal Valley",39.3394757,-104.8411745
"Onyx Plan, Bella Mesa",39.3665884,-104.7977001
"Lapis Plan, Seasons at Cliffrose at Homestead",39.337086,-104.8324466
3133 Bittern St,39.34230660000001,-104.8359727
717 Chandelle Rd,39.301464,-104.872693
"Citrine Plan, Seasons at The Oaks",39.3556009,-104.8154244
"Fleming Plan, Seasons at Cliffrose at Homestead",39.337086,-104.8324466
"CALI Plan, Crystal Valley",39.3255729,-104.8423538
"Alexandrite Plan, Bella Mesa",39.3665884,-104.7977001
39 Gordon Dr,39.3707033,-104.8371395
"Plan 1738 Plan, Terrain - Ranch Villa Collection",39.375725,-104.818213
"HOLCOMBE Plan, Crystal Valley Pine Ridge",39.3372531,-104.8512143
"Moonstone Plan, Seasons at The Oaks",39.3556009,-104.8154244
"Palisade (Residence 39102) Plan, Homestead at Crystal Valley",39.3255729,-104.8423538
"Daniel Plan, Cliffrose at Homestead at Crystal Valley",39.3255729,-104.8423538
"Dillon Plan, Carriage Hills at Crystal Valley",39.3218555,-104.8358543
"Plan 1689 Plan, Terrain - Ranch Villa Collection",39.375725,-104.818213
"Onyx Plan, Seasons at The Oaks",39.3556009,-104.8154244
"Adderbrooke Plan, Enclave at Founder's Village",39.3758,-104.8086
"Foster Plan, Seasons at Cliffrose at Homestead",39.337086,-104.8324466
