House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
New construction,"Arlington Plan, Stone Creek Ranch, Parker, CO 80134","$493,950 ","Arlington Plan, Stone Creek Ranch",Parker,CO,80134,"1,880",https://www.zillow.com/community/stone-creek-ranch/2078676569_zpid/
New construction,"9012 Birch Run Dr, Parker, CO 80134","$449,990 ",9012 Birch Run Dr,Parker,CO,80134,"1,534",https://www.zillow.com/homedetails/9012-Birch-Run-Dr-Parker-CO-80134/249985558_zpid/
New construction,"Avon (Residence 39205) Plan, Anthology, Parker, CO 80134","$453,990 ","Avon (Residence 39205) Plan, Anthology",Parker,CO,80134,"1,991",https://www.zillow.com/community/anthology/2080665077_zpid/
New construction,"Signature Series Plan Three Plan, Pradera, Parker, CO 80134","$732,950 ","Signature Series Plan Three Plan, Pradera",Parker,CO,80134,"3,100",https://www.zillow.com/community/pradera/2081380503_zpid/
New construction,"The Waterton Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134","$538,990 ","The Waterton Plan, Senderos Creek: The Canyon Collection",Parker,CO,80134,"2,683",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300379_zpid/
New construction,"Birch (Residence 34203) Plan, Anthology, Parker, CO 80134","$443,990 ","Birch (Residence 34203) Plan, Anthology",Parker,CO,80134,"2,167",https://www.zillow.com/community/anthology/2080665092_zpid/
New construction,"Decker Plan, Stone Creek Ranch, Parker, CO 80134","$500,950 ","Decker Plan, Stone Creek Ranch",Parker,CO,80134,"2,000",https://www.zillow.com/community/stone-creek-ranch/2078676571_zpid/
New construction,"Hawthorn (Residence 34205) Plan, Anthology, Parker, CO 80134","$470,990 ","Hawthorn (Residence 34205) Plan, Anthology",Parker,CO,80134,"2,676",https://www.zillow.com/community/anthology/2080665090_zpid/
New construction,"The Platte Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134","$494,990 ","The Platte Plan, Senderos Creek: The Canyon Collection",Parker,CO,80134,"1,819",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300381_zpid/
New construction,"Glenwood Plan, Stone Creek Ranch, Parker, CO 80134","$484,990 ","Glenwood Plan, Stone Creek Ranch",Parker,CO,80134,"2,576",https://www.zillow.com/community/stone-creek-ranch/2082165372_zpid/
House for sale,"11079 Random Valley Cir, Parker, CO 80134","$1,150,000 ",11079 Random Valley Cir,Parker,CO,80134,"4,629",https://www.zillow.com/homedetails/11079-Random-Valley-Cir-Parker-CO-80134/13478358_zpid/
New construction,"Plan 1942 Plan, Stone Creek Ranch, Parker, CO 80134","$430,495 ","Plan 1942 Plan, Stone Creek Ranch",Parker,CO,80134,"1,942",https://www.zillow.com/community/stone-creek-ranch/2079368156_zpid/
New construction,"Monroe Plan, Timbers At The Pinery, Parker, CO 80134","$761,950 ","Monroe Plan, Timbers at the Pinery",Parker,CO,80134,"2,980",https://www.zillow.com/community/timbers-at-pinery/2078676588_zpid/
New construction,"Plan 2193 Plan, Stone Creek Ranch, Parker, CO 80134","$428,495 ","Plan 2193 Plan, Stone Creek Ranch",Parker,CO,80134,"2,194",https://www.zillow.com/community/stone-creek-ranch/2079733371_zpid/
For sale by owner,"7677 Hillgate Way, Parker, CO 80134","$585,000 ",7677 Hillgate Way,Parker,CO,80134,"2,400",https://www.zillow.com/homedetails/7677-Hillgate-Way-Parker-CO-80134/13478761_zpid/
